# Generation #0
0.2567538303 , 0.9606702195 , 0.3514696954 , 0.0138984996 , 0.9174982068 , 0.4342501324 , 0.9678167553 , 0.3444358276 , 0.7871296291 , 0.8232446564 , 0.7463161751 , 0.5251405249 , 0.5388113217 , 0.9548922415 , 0.1404346763 , 0.5947441879 , 0.3362721764 , 0.4365108933 , 0.5290626207 , 0.2888221823
0.4974018657 , 0.4904132362 , 0.1730092416 , 0.1296739179 , 0.3081657419 , 0.1815104709 , 0.2047104226 , 0.4926551674 , 0.1295770782 , 0.5684543293 , 0.5642670125 , 0.8121293214 , 0.7545736152 , 0.7048416731 , 0.9002663542 , 0.6538134454 , 0.7995860467 , 0.4544136750 , 0.2933303558 , 0.6776920293
0.6260586363 , 0.2167216344 , 0.1925788686 , 0.6586200350 , 0.9531110401 , 0.7749078058 , 0.0291384931 , 0.3158713748 , 0.7100692608 , 0.5927269063 , 0.3899438787 , 0.5515005071 , 0.0870125685 , 0.2248647392 , 0.8365852016 , 0.0242880470 , 0.3039332133 , 0.2628491695 , 0.0570163999 , 0.1007045568
0.4792442222 , 0.0489031055 , 0.9914066809 , 0.0880217793 , 0.0407404909 , 0.2632361407 , 0.5723297833 , 0.9488689679 , 0.0029011424 , 0.3718974322 , 0.0167457414 , 0.1741120095 , 0.3792676438 , 0.9611764224 , 0.4192837481 , 0.4326791106 , 0.5551084070 , 0.3592156740 , 0.0110314001 , 0.6353954650
0.2559262789 , 0.1223371479 , 0.3521970546 , 0.4384262930 , 0.7713689457 , 0.7176253676 , 0.3183834565 , 0.2817736290 , 0.5604168242 , 0.9800323785 , 0.3700624482 , 0.5422461970 , 0.3976246863 , 0.5172640524 , 0.0193261670 , 0.3646025578 , 0.9338827916 , 0.6201381357 , 0.0951309194 , 0.2025332602
0.6603997774 , 0.2099544658 , 0.5086042111 , 0.3730462725 , 0.1165031772 , 0.6859470541 , 0.7662691733 , 0.4490942368 , 0.7078261689 , 0.6223048358 , 0.6173521950 , 0.1316017390 , 0.4808368298 , 0.4565427108 , 0.4052775511 , 0.1213939057 , 0.9426820117 , 0.8163589672 , 0.7761679978 , 0.4330100251
0.1601051144 , 0.3455928623 , 0.2564728784 , 0.6717750515 , 0.0733495745 , 0.2074424371 , 0.4506028496 , 0.4055381853 , 0.7698068881 , 0.8944673401 , 0.2234740564 , 0.6543926601 , 0.8064084788 , 0.0234711816 , 0.6964986089 , 0.3381695887 , 0.7039424622 , 0.8952952739 , 0.6612671060 , 0.4405498539
0.1779791519 , 0.7709842172 , 0.2921760691 , 0.6587713946 , 0.0244104289 , 0.9175256329 , 0.5363312439 , 0.1048080375 , 0.5876137605 , 0.2314094328 , 0.2917805672 , 0.7110713534 , 0.1313125087 , 0.4487286359 , 0.3056370682 , 0.1020631414 , 0.6954630193 , 0.9550657653 , 0.1582537239 , 0.0331889673
0.2535352712 , 0.6160469879 , 0.0584678039 , 0.6051860723 , 0.5825676856 , 0.4917199137 , 0.8021592447 , 0.2470807345 , 0.4609947996 , 0.9421840922 , 0.1585335604 , 0.8610755069 , 0.6100633946 , 0.2163884217 , 0.5665397225 , 0.2743271260 , 0.9120758552 , 0.0262376704 , 0.4184239021 , 0.3394298188
0.2780132238 , 0.0424601836 , 0.7597459093 , 0.8120951878 , 0.3977512327 , 0.6101881857 , 0.6704416441 , 0.4968306719 , 0.8670471927 , 0.6874841739 , 0.8780700513 , 0.3980498428 , 0.2165931036 , 0.2949436046 , 0.7975751118 , 0.9901421402 , 0.5338942781 , 0.6012896836 , 0.6497820781 , 0.1387199333
