# Generation #0
0.0156245549 , 0.8344258883 , 0.1722590731 , 0.6644237193 , 0.6782460172 , 0.9728261410 , 0.2343329253 , 0.4037187506 , 0.7534914561 , 0.9965287232 , 0.3762398153 , 0.5121418119 , 0.0833478743 , 0.9593219154 , 0.7399391639 , 0.9611078789 , 0.7079997826 , 0.8361533341
0.7082986691 , 0.9990367423 , 0.8694645698 , 0.4385328220 , 0.8353573798 , 0.4347499480 , 0.7215643545 , 0.8322904513 , 0.5649539703 , 0.8012428965 , 0.8614585424 , 0.9315483380 , 0.9643983809 , 0.7852420901 , 0.3833933172 , 0.6698531577 , 0.2442763443 , 0.6891370419
0.9096252699 , 0.8489437875 , 0.5445148182 , 0.2838455996 , 0.9553772104 , 0.0050062129 , 0.1661952893 , 0.6206225383 , 0.6659182420 , 0.5788358946 , 0.2592582605 , 0.2742866352 , 0.3882721540 , 0.2922501873 , 0.7161858789 , 0.1335914423 , 0.9305433165 , 0.2248258786
0.6631505529 , 0.9856214357 , 0.4628068336 , 0.0275277108 , 0.6775883833 , 0.1799190709 , 0.2592190097 , 0.8935215299 , 0.6072465507 , 0.9694977113 , 0.7629276978 , 0.1169001294 , 0.4467779657 , 0.3882907959 , 0.9819868312 , 0.6256944363 , 0.4398704187 , 0.8621936192
0.2097523429 , 0.0672963855 , 0.9609352845 , 0.9851790604 , 0.0868804937 , 0.1059095535 , 0.0905863947 , 0.8247997608 , 0.6133507668 , 0.8326600995 , 0.2412068611 , 0.9894134340 , 0.1113723219 , 0.4100739830 , 0.8865372507 , 0.1853546816 , 0.5715824147 , 0.7266430789
0.0448506345 , 0.5033289866 , 0.9377792692 , 0.9070146361 , 0.8605753980 , 0.6182499873 , 0.0037221525 , 0.6843127164 , 0.3371942728 , 0.9016242307 , 0.4030695491 , 0.3893050566 , 0.2580574441 , 0.7685441774 , 0.1677319305 , 0.3087352354 , 0.0126096165 , 0.4897090858
0.9915824638 , 0.3624383061 , 0.7883629199 , 0.2987179606 , 0.7998342890 , 0.7776673482 , 0.2779625348 , 0.2630676677 , 0.2097720056 , 0.3335807670 , 0.6626731716 , 0.5232109798 , 0.1717998289 , 0.8466747215 , 0.7369756521 , 0.9488887558 , 0.7984401507 , 0.9783635946
0.0706164908 , 0.6937572071 , 0.9679819614 , 0.4547932862 , 0.1999705126 , 0.8552778308 , 0.9594897449 , 0.5455370539 , 0.2816202865 , 0.9823213118 , 0.7938243147 , 0.1544683775 , 0.7618279542 , 0.7550786848 , 0.2143772845 , 0.7039727014 , 0.0800424038 , 0.8252358014
0.4739335093 , 0.5372900123 , 0.7740460081 , 0.1266152409 , 0.1391883329 , 0.3784108092 , 0.3481548767 , 0.2731407866 , 0.5069855123 , 0.3335807670 , 0.6626731716 , 0.5232109798 , 0.1717998289 , 0.8466747215 , 0.7369756521 , 0.9488887558 , 0.7984401507 , 0.9783635946
0.0706164908 , 0.6937572071 , 0.9679819614 , 0.4547932862 , 0.1999705126 , 0.8552778308 , 0.9594897449 , 0.5455370539 , 0.2816202865 , 0.2231713710 , 0.0102014112 , 0.1455939177 , 0.3876015508 , 0.4338086433 , 0.5737585061 , 0.8733500062 , 0.5806004890 , 0.1889773939
